station_id,root_grdc_no,test_start_year,test_end_year
1160102,1160305,2021,2021
1160303,1160305,2021,2021
1160304,1160305,2021,2021
1160305,1160305,2021,2021
1160510,1160580,2021,2021
1160520,1160580,2021,2021
1160528,1160580,2021,2021
1160529,1160580,2021,2021
1160533,1160580,2021,2021
1160580,1160580,2021,2021
1160788,1160788,2021,2021
2260100,2260700,2021,2023
2260110,2260700,2021,2023
2260120,2260700,2021,2023
2260400,2260700,2021,2023
2260500,2260700,2021,2023
2260600,2260700,2021,2023
2260700,2260700,2021,2023
4103200,4103200,2021,2022
4103550,4103200,2021,2022
4103600,4103200,2021,2022
4103615,4103200,2021,2022
4103630,4103200,2021,2022
4103633,4103200,2021,2022
4103650,4103200,2021,2022
4203060,4103200,2021,2022
4203070,4103200,2021,2022
4115080,4115201,2021,2022
4115081,4115201,2021,2022
4115100,4115201,2021,2022
4115101,4115201,2021,2022
4115102,4115201,2021,2022
4115105,4115201,2021,2022
4115106,4115201,2021,2022
4115200,4115201,2021,2022
4115201,4115201,2021,2022
4115202,4115201,2021,2022
4115203,4115201,2021,2022
4115204,4115201,2021,2022
4115205,4115201,2021,2022
4115206,4115201,2021,2022
4115210,4115201,2021,2022
4115220,4115201,2021,2022
4115221,4115201,2021,2022
4115222,4115201,2021,2022
4115223,4115201,2021,2022
4115230,4115201,2021,2022
4115231,4115201,2021,2022
4115235,4115201,2021,2022
4115260,4115201,2021,2022
4115261,4115201,2021,2022
4115280,4115201,2021,2022
4115281,4115201,2021,2022
4115290,4115201,2021,2022
4115300,4115201,2021,2022
4115301,4115201,2021,2022
4115305,4115201,2021,2022
4115322,4115201,2021,2022
4115330,4115201,2021,2022
4115331,4115201,2021,2022
4115332,4115201,2021,2022
4115340,4115201,2021,2022
4115344,4115201,2021,2022
4115345,4115201,2021,2022
4115347,4115201,2021,2022
4115349,4115201,2021,2022
4115350,4115201,2021,2022
4115400,4115201,2021,2022
4115401,4115201,2021,2022
4115403,4115201,2021,2022
4115410,4115201,2021,2022
